Word,Type,Context,Source,Derivative,Parts,Vowels,Consonants,Structure,Comments
Khar-Toba,ship,"Exile ship, a base for Kharak's First city",HW1-G,Toba,"to,ob,a","o,a","t,b",XYZ,
Kharak,planet,The Planet,HW1-G,Kharak,"kha,ar,ak",a,"kh,r,k",XYZYZ,
Kiith,culture,Family/Clan,HW1-G,Kiith,"ki,ith","i,ii","k,th",XYYZ,
Kim,name,"Kim Paktu-Sa, grandson of Majiir",HW1-M,Kim,"ki,im",i,"k,m",XYZ,
Koraal,ship,Taiidan Gravwell Generator,HW1-O,Koraal,"ko,ra,al","o,a,aa","k,r,l",XYXYYZ,
Koshiir-Ra,deity,A god of protection,HW1-O,Koshiir,"ko,shi,ir","o,i,ii","k,sh,r",XYXYYZ,
Koshiir-Ra,deity,A god of protection,HW1-O,Ra,"ra,a",a,r,XY,
Kriil,name,Kriil S男et,HW1-M,Kriil,"k',kri,ri,il",II,"k,r,l",XYYZ,K'riil?
Kudaark,biom,a large burrower from the northern forests,HW1-O,Kudaark,"ku,da,ark","u,a,aa","k,d,r,k",XYXYYZ,
Kushan,people,The exiles,HW1-G,Kushan,"ku,ush,sha,an","u,a","k,sh,n","XYXYZ,XYZYZ",
Leykab,name,Leykab Jaraci,HW1-M,Leykab,"le,ei,i,ik,leyk,ka,ab","e,i,a","l,y,k,b","XYYZYZ,XYXYZ",
Liam,name,Liam Gaalsien,HW1-M,Liam,"li,am","i,a","l,m",XYYZ,
Liir-Hra,kiith,Space kiith,HW1-M,Liir,"li,ir","i,ii","l,r",XYYZ,
Liir-Hra,kiith,Space kiith,HW1-M,Hra,"h',ra,hra",a,"h,r","XY,XYXY",H'raal -> H'ra? doesn't look like
Magann,kiith,"Rei Magann, the tester",HW1-M,Magann,"ma,ag,ga,ann",a,"m,g,n,nn","XYXYZ,XYZYZ",
Majiir,name,Majiir Paktu,HW1-M,Majiir,"ma,ji,ir","a,i,ii","m,j,r",XYXYYZ,
Manaan,kiith,Trading kiith,HW1-M,Manaan,"ma,na,an","a,aa","m,n,n",XYXYYZ,
Mevath,name,Mevath Sagald,HW1-M,Mevath,"me,ev,va,ath","e,a","m,v,th","XYZYZ,XYXYZ",
Miirpat,name,Miirpat Gaalsien-Sa,HW1-M,Miirpat,"mi,ir,pa,at","i,ii,a","m,r,p,t","XYYZXYZ,XYYZ,XYZ",
Naabal,kiith,Engineering kiith,HW1-M,Naabal,"na,ab,al","aa,a","n,b,l",XYYZYZ,
Paktu,kiith,Sea kiith,HW1-M,Paktu,"pa,ak,tu","a,u,uu","p,k,t",XYZXY,
Per,name,Per Doine,HW1-M,Per,"pe,er",e,"p,r",XYZ,
Qwaar-Jet,deity,Deity of pain and enslavement,HW1-O,Qwaar,"k',kva,va,qwa,ar","a,aa","q,w,k,v,r",XYYZ,"Q'waar, K'waar,K'vaar,kua'ar"
Qwaar-Jet,deity,Deity of pain and enslavement,HW1-O,Jet,"je,et",e,"j,t",XYZ,
Raachok,tech,Hurled leaded darts,HW1-O,Raachok,"ra,ach,ok","a,aa,o","r,ch,k",XYYZYZ,Burning spears? Small spear? Ra-Ach-ok?
Rei,name,Rei Magann,HW1-M,Rei,"re,ei,i","e,i",r,XY,
Riif,kiith,Admiral,HW1-M,Riif,"ri,if","i,ii","r,f",XYYZ,
S男et,kiith,Science kiith,HW1-G,S'jet,"s',je,et",e,"s,j,t",XYXYZ,
Sa,culture,Leader,HW1-M,Sa,sa,a,s,XY,
Saarkin-Cho,ship,Taiidan carrier,HW1-O,Saarkin,"sa,ar,ki,ark,in","a,aa,i","s,r,k,n","XYYZXYZ,XYYZYZ",
Saarkin-Cho,ship,Taiidan carrier,HW1-O,Cho,cho,o,ch,XY,
Sagald,kiith,"Mevath Sagald, the archeologist",HW1-M,Sagald,"sa,ag,ga,ald",a,"s,g,l,d","XYXYZ,XYZYZ",Sagal'd?
Saju-Ka,city,Gaalsien city,HW1-M,Saju,"sa,ju","a,u","s,j",XYXY,
Saju-Ka,city,Gaalsien city,HW1-M,Ka,"ka,a",a,k,XY,
Sajuuk,deity,The God,HW1-M,Sajuuk,"sa,ju,uk","a,u,uu","s,j,k",XYXYYZ,
Seejur,tech,An ancient combat shield,HW1-M,Seejur,"se,ej,ju,ur","e,ee,u,uu","s,j,r","XYYZYZ,XYXYYZ","It asks for ｫSejuurｻ, with Seju being a root"
Siidim,kiith,ｫStar Peopleｻ kiith,HW1-M,Siidim,"si,id,di,im","i,ii","s,d,m","XYYZYZ,XYXYYZ",
Siim Salla,ship,Taiidan,HW1-O,Siim,"si,im","i,ii","s,m",XYYZ,
Siim Salla,ship,Taiidan,HW1-O,Salla,"sa,al,all,la,a",a,"s,l,ll","XYZ,XY",
Silumiin,location,Rocket launch site,HW1-M,Silumiin,"si,lu,mi,in","i,ii,u","s,l,m,n",XYXYXYYZ,
Skaal-Tel,biom,The Skaal animal,HW1-O,Skaal,"s',ska,ka,al","a,aa","s,k,l","XYYZ,XYXYYZ",S'kaal
Skaal-Tel,biom,The male of Skaal species,HW1-O,Tel,"te,el",e,"t,l",XYZ,
Skaal-Fal,biom,The female of Skaal species,HW1-O,Fal,"fa,al",a,"f,l,r",XYZ,"Fa or Fal, there were different options"
Soban,kiith,"Military kiith, ｫGrey Brotherhoodｻ",HW1-M,Soban,"so,ob,ba,an","o,a","s,b,n","XYZYZ,XYXYZ",
Somtaaw,kiith,Mining kiith,HW1-M,Somtaaw,"so,om,ta,aw","o,a,aa","s,m,t,w",XYZXYYZ,
Taiidan,people,The Empire,HW1-G,Taiidan,"ta,ai,i,id,an","a,i,ii","t,d,n",XYYYZYZ,"Well, it should be alien word"
Tiifal,ship,Taiidan defence field frigate,HW1-O,Tiifal,"ti,if,fa,al","i,ii,a","t,f,l","XYYZYZ,XYXYZ",
Tiir,city,Naabal capitol,HW1-M,Tiir,"ti,ir","i,ii","t,r",XYYZ,
Tiirshak,name,S男etties famous scholar,HW1-O,Tiirshak,"ti,ir,sha,ak","a,i,ii","t,r,sh,k",XYYZXYZ,
Triikor,biom,Kharakian predator cat,HW1-O,Triikor,"t',tri,ri,ik,ko,or","i,ii,o","t,r,k,r","XYXYZ,XYYZYZ",
Variis,ship,Taiidan proximity sensor,HW1-O,Variis,"va,ri,is","a,i,ii","v,r,s",XYXYYZ,
Wodaan,ship,Taiidan minelayer corvette,HW1-O,Wodaan,"wo,vo,da,an","a,aa,o","v,w,d,n",XYXYYZ,Vo-daan? Hodaan?
